,job_title,company_name,rating,company_location(city),company_location_state,salary_type,payment_cycle,Salary Range From,Salary range To,currency,job_type,job_benefits,qualifications,job_description
0,"Senior Business Analyst, Contract Data",Stericycle,3.1,New Jersey,New Jersey,,,,,,Full-time | Contract,"Prescription drug insurance, Dental insurance, Employee stock purchase plan, Health insurance, Employee assistance program",Bachelor's degree,"About Us:
At Stericycle, we deliver solutions and drive innovations that protect the environment, people, and public health. This includes working to create a more sustainable, shared future. Our innovative solutions make a difference in people’s lives, communities, and our planet by protecting their health and well-being. Change your career. Change your world. Join Stericycle and help protect health and well-being in a safe, responsible, and sustainable way.

Position Purpose:
This is a fully remote/work-from-home opportunity.

This role serves as the steward of our customer contract and pricing information, maintaining the integrity of, and fully leveraging, our contractual commitments. Oversee and support the day-to-day operations of the contract data team, assuring performance goals and expectations are met. An expert of contract and pricing system functionality, investigating potential issues, providing business insights, and managing projects to both maintain and improve the quality of our contract and pricing data. Offer ideas on how to improve results, employee morale and streamline processes, with recommendations consistent with corporate values, revenue operations goals, and overall impact to the business.

This is a full time remote opportunity!

Key Job Activities:
An expert of contract and pricing system functionality, including how related fields are used across systems, and their impact on the business. High familiarity with contracting operations; including sales engagement rules, standard practices, and sales activities.
Proactively identify data quality issues based on self-implemented monitors. Provide analytical insights, revenue growth opportunities and risks of current contracting practices.
Oversee reported contract and pricing issues. Investigate root causes, provide reporting with revenue impact, and recommend uniform solutions to both improve and maintain data quality. Coordinating data updates, according to the responsibility matrix, and in compliance with standard controls.
Manage data quality projects including contracting changes, system updates, cross-system payloads (sending/receiving data) and cleansing efforts. Includes project plan development, recommending solutions, execution, status updates, and tracking business impact.
Lead and communicate on-going Contract Data Operation efforts, both internally and cross-functionally. Coordination may include knowledge transfer, consulting, training, overseeing work/progress of other departments, and ensuring consistent practices as it impacts contract and pricing data.
Ability to analyze large data sets, validate accuracy, and present/articulate complex data in a user-friendly format. Understand the data architecture of our ERP system, and its data inputs, including logic for data migration from legacy systems.
Perform other duties and responsibilities, as assigned.

Education:
Preferred Education: in Bachelor`s Degree or Equivalent

Experience (North America & LATAM):
Bachelor’s degree or equivalent in related work experience.3 or more years’ experience, preferably in the following fields: Business Analytics, Information Systems, ERP Data Migration, ERP Solution Architect, Sales Operations or Finance
Benefits:
Stericycle currently offers its employees the option to participate in a full range of benefits, including a health care program which includes medical, dental, vision and prescription coverage, healthcare and dependent care flexible spending accounts, life and accidental death and dismemberment insurance, an employee assistance program, tuition reimbursement, paid vacation and sick time, a 401(k) plan, and an employee stock purchase plan. Participation in some programs requires that employees be regularly scheduled to work a minimum number of hours and/or to have fulfilled a waiting period after they begin employment with Stericycle.

Disclaimer:
The above description is meant to provide a summary of the nature and level of work being performed; it should not be construed as an exhaustive list of all responsibilities, duties and requirements of the job. This document does not create an employment contract, implied or otherwise. Stericycle will consider requests for workplace accommodations for protected physical or mental limitations in accordance with its human resources policies and local laws. To the extent permissible under local law, and consistent with business necessity, Stericycle reserves the right to modify the content formally or informally, either verbally or in writing, at any time with or without advance notice."
1,Digital Commerce Business Analyst,Sealed Air,3.5,Charlotte,NC,Estimated,Annually,"65,000","85,000",$,,,"Change management, Project management, Analysis skills, Power BI, Communication skills, Bachelor's degree","Sealed Air designs and delivers packaging solutions that protect essential goods transported worldwide, preserve food, enable e-commerce and digital connectivity, and help create a global supply chain that is touchless, safer, less wasteful, and more resilient.
Our people are entrepreneurial innovators and problem solvers committed to bringing unique insights and solutions to the needs of our customers, stakeholders, and society. At SEE, we are creating a community of inventors, problem solvers, and future makers that are passionate about fulfilling our purpose.
Sealed Air generated $5.5 billion in sales in 2021 and has approximately 16,500 employees who serve customers in 114 countries. To learn more, visit www.sealedair.com . Position Summary
The Digital Commerce Business Analyst will be key to effectively executing the transformation of business rules as we shift from analog to digital ways of working. The analyst will work closely with MySEE America’s commercial team stakeholders on transformation workstreams that will evolve business rules to enable effective and efficient engage and transact experiences on the MySEE platform. The analyst will capture the opportunities for improvement, quantify impact/benefit of transformation to the business, and work to articulate future state (the requirements) for the prioritized items. The analyst will then work with cross functional team members to develop an action plan, set execution timelines and track progress towards the goal of transformation. 
Identify and justify the need for change by evaluating and pressure testing legacy business processes and using data and insights to target areas of improvement.
Build and manage a transformation strategy roadmap that captures who, what, why, when, where in the context of our long-term goals and objectives.
Clearly capture critical business requirements and translate to other stakeholders to ensure they are not overlooked.
Document project progress and structure the implementing teams’ workflow. Communicate progress to other transformation stakeholders.
Maintain relationships across the team/department/company to build trust in internal data and promote data-driven decision making.
Work independently to handle multiple simultaneous data and reporting projects. Required Qualifications
Critical and analytical thinking skills plus the intellectual curiosity to question/test assumptions and find edge cases.
Strong communication skills.
Strong data manipulation, analysis, and visualization skills.
Proficient in Microsoft Excel
Ability to work independently and creatively when help is not available and the solution to a problem is not immediately known.
Demonstrate an understanding of relational data.
Previous background/experience in a change management/process improvement centric role. Additional Qualifications
Bachelor’s degree preferred (including process improvement coursework)
3-5 years of relevant experience preferred.
Lean Six Sigma knowledge
Project Management knowledge
Experience with data visualization software e.g. Power BI, Tableau or SAP Lumira
Requisition id: 41285
Relocation: No
The Company is committed to providing equal employment opportunities to all applicants for employment and to all employees, without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, protected disability, veteran status, or any other protected status in accordance with applicable federal, state or local laws.
LINK1 MON1"
2,"Analyst, Sales Force Deploy-SR",Quest Diagnostics,3.6,Collegeville,PA,Estimated,Annually,"91,000","120,000",$,Full-time,,"Microsoft Access, Laboratory experience, Microsoft Excel, Sales, Business analysis, Bachelor's degree","Overview: Provide analysis and insight into sales force deployment initiatives to include both large and maintenance deployment projects. Be the keeper and expert of key Quest data sets/ systems as well as that of external data vendors (TPS, 4C Geoworks, IMS). Responsibilities:
The sales force deployment expert on Quest data sets/ systems as well as that of external data vendors (TPS, 4C Geoworks, IMS). This data will be used as the basis for all deployment exercises both large and small
Ability to map and merge several datasets to create master file for varying alignment initiatives.
Own & maintain the quality and integrity of all data sets used for deployment
Support the management and delivery of alignment reports to senior & field management as well as the field sales force.
Become expert in ESRI and i-max mapping software used for mapping sessions both large and small.
Active participant in all major and maintenance mapping sessions
Provide analysis and interpretation of internal and 3rd party datasets
Take ownership of systems and processes, constantly striving to improve efficiency of workflow and operating procedures for all deployment deliverables
Produce ad hoc reporting to target and track specific alignment initiatives
Communicate analytical content verbally, in writing, and in presentation form to all levels of management
Relates well to all kinds of people, up down, and sideways, inside and outside the organization; builds appropriate rapport; builds constructive and effective relationships; uses diplomacy and tact; can diffuse even high-tension situations comfortably.
Qualifications: QUALIFICATIONS

Required Work Experience:
Experience with data analysis and large complex datasets

Preferred Work Experience:
A minimum of 5 years in business analysis and field sales experience is a plus
Diagnostic laboratory or healthcare experience preferred

Physical and Mental Requirements:
Pursues everything with energy, drive, and a need to finish; seldom gives up before finishing, especially in the face of resistance or setbacks.

Knowledge:
Strong statistical knowledge

Skills:
Experience with Microsoft Office applications including: Word, PowerPoint, and Outlook.
Advanced understanding of Excel, Access
Widely trusted; is seen as a direct, truthful individual; can present the unvarnished truth in an appropriate and helpful manner; keeps confidences; admits mistakes; doesn’t misrepresent him/herself for personal gain
Business Acumen: Know how businesses work, knowledgeable in current and possible future policies, practices, trends, and information affecting his/her business and organization; knows the competition; is aware of how strategies and tactics work in the marketplace.
Problem Solving: Uses rigorous logic and methods to solve difficult problems with effective solutions; probes all fruitful sources for answers; can see hidden problems; is excellent at honest analysis; looks beyond the obvious and doesn’t stop at the first answers.
Functional/Technical Skills: Has the functional and technical knowledge/skills to do the job at a high level of accomplishment.
Presentation Skills: Is effective in a variety of formal presentation settings; one-on-one, small and large groups, with peers, direct reports, and bosses; is effective both inside and outside the organization, on both cool data and hot and controversial topics; commands attention and can manage group process during the presentation; can change tactics midstream when something isn’t working.
Learning on the Fly: Learns quickly when facing new problems; a relentless and versatile learner; open to change; analyzes both successes and failures for clues to improvement; experiments and will try anything to find solutions; enjoys the challenge of unfamiliar tasks; quickly grasps the essence and the underlying structure of anything.
Timely Management: Uses his/her time effectively and efficiently; values time; concentrates his/her efforts on the more important priorities; gets more done in less time than others; can attend to a broader range of activities.

EDUCATION
Bachelor’s Degree(Required)

LICENSECERTIFICATIONS"
3,Senior Business Analyst,eSales Technologies,,West Babylon,NY,Estimated,Annually,"89,000","120,000",$,,,"Analysis skills, Microsoft Excel, Business analysis, Microsoft Powerpoint, Communication skills, Bachelor's degree, Master's degree, Master of Business Administration","We are hiring a Business Analyst to join our project team. You will work alongside other business analysts or developers and report directly to the project manager. Your main tasks will include performing detailed requirements analysis, documenting processes, tracking the project status, client front-ending and performing some user acceptance testing. To succeed in this role you should have a natural analytical way of thinking and be able to explain difficult concepts to non-technical users.

Business Analyst Responsibilities:
Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.
Staying up-to-date on the latest process and IT advancements to automate and modernize systems.
Conducting meetings and presentations to share ideas and findings.
Liaise with customers to understand the business requirements and translate into Software specification and prepare functional documents and flow for requirements.
Performing requirements analysis.
Preparation of SRS / FRS documents for any new requirements and explain the functional flow to the technical team.
Prepare a Weekly status report and periodic update to the stakeholders.
Effectively communicating your insights and plans to cross-functional team members and management.
Gathering critical information from meetings with various stakeholders and producing useful reports.
Working closely with clients, development team, and managerial staff.
Performing user acceptance testing, functional testing of the product and customization. Preparation of test cases and test reports.
Prioritizing initiatives based on business needs and requirements.
Product or feature demonstration to client and capture the feedback, share with the team and track.
Monitoring deliverables and ensuring timely completion of projects.

Business Analyst Requirements:
A bachelor’s degree in Computer Science or an MBA in a relevant field.
A minimum of 2 years experience in business analysis or a related field.
Excellent communication skills.
A good track of customer handling and support.
Exceptional analytical and conceptual thinking skills.
The ability to influence stakeholders and work closely with them to determine acceptable solutions.
Basic technical skills.
Excellent documentation & presentation skills.
Experience creating detailed reports and giving presentations.
Competency in Microsoft applications including Word, Excel, and Powerpoint.
Excellent planning, organizational, and time management skills.
A history of leading and supporting successful projects."
4,Business Analyst,Saama Technologies Inc,3.5,Bridgewater,NJ,Estimated,Annually,"110,000","140,000",$,,,"Analysis skills, Communication skills, Information management, Agile, SQL, Bachelor's degree, Master's degree","Does solving complex business problems and real world challenges interest you? Do you enjoy seeing the impact your contributions make on a daily basis? Are you passionate about using data analytics to provide game changing solutions to the Global 2000 clients? Do you thrive in a dynamic work environment that constantly pushes you to be the best you can be and more? Are you ready to work with smart colleagues who drive for excellence in everything they do?

If you possess a solutions mindset, strong architecting skills, and commitment to be part of a tremendous journey, come join our growing, global team. See what Saama can do for your career and for your journey.

Saama Analytics has been on the forefront of data innovation for the last two decades and continues to offer cutting-edge data analytics solutions powered with big data, cloud, and AI/ML aptitudes for its customers in Life Sciences, Insurance, CPG, and other industries.

Saama is committed to finding the best people because the innovations and discoveries that enabled together leads to better technologies, better treatments, and a better future.

Key relationships:
Client Executives (C-Suite, SVP/VP, Directors)
Industry Thought Leaders in the area of expertise
Sales/Pre-Sales Executives
Product/Customer Implementation Teams
Operations support teams at Onsite and Offshore

What We Value

Integrity: doing the right thing
Solutions: solving core, complex business challenges
Collaboration: working as one team
Innovation: changing the game
Transparency: communicating openly
Enjoy & Celebrate: having fun

Competencies:
Results-oriented and a self-starter who enjoys a challenge and needs minimal support and direction.
Works well in structured environment handling multiple parallel tasks
Takes initiative; challenges status quo
Learns quickly; takes smart risks & experiments.
Consulting skills; identifies key requirements in dynamic environments.
Positive Attitude, Communication & Influence skills. Able to communicate effectively and credibly with clients, and other team members. Effective in both written and spoken communication.
Stays the course despite challenges & setbacks
Experience working with c-level executives

Competencies:
Results-oriented and a self-starter who enjoys a challenge and needs minimal support and direction.
Works well in structured environment handling multiple parallel tasks
Takes initiative; challenges status quo
Learns quickly; takes smart risks & experiments.
Consulting skills; identifies key requirements in dynamic environments.
Positive Attitude, Communication & Influence skills. Able to communicate effectively and credibly
with clients, and other team members. Effective in both written and spoken communication.
Stays the course despite challenges & setbacks
Ability to mentor and coach junior team members through design and development
Requirement

In Depth knowledge of Insurity Commercial Lines system. (Must Have)
Excellent understanding on the PDE (Policy Decisions Evolution) system. (Must Have)
Bachelors or Master’s degree in computer science or related discipline.
10 + years of relevant experience in software development, preferably in Data, Analytics, Information
Management platforms
Should possess In-depth knowledge & working experience on P&C Insurance domain. Preferably on
both Personal Lines & Commercial Lines
Be a subject matter expert in insurance and a champion of data management best practices
Experience leading data integration efforts of internal and external data sources
Strong hands-on working knowledge of complex ELT, ETL, Cloud Computing and programming
languages
Hands-on working experience in Snowflake (Optional)
Strong working experience building ELT/ETL for Data Vault and Dimensional Modelling structures (Optional)
Cloud database(s) experience – Snowflake preferred (Optional)
Strong knowledge of best practices and solution patterns
Participate in release process by assuring only quality code is released to production
Support User Acceptance Testing and Operational Readiness Testing
Proficient in SQL for data testing, validation and analysis
Experience and hands-on delivering projects in agile methodology
Manage multiple streams simultaneously and ensure delivery per project plan
Experience working on scheduling/orchestration tools , creating wrapper scripts
Expert level SQL skills and complex Stored Procedures

Work Environment

This job operates in a professional office environment. This role routinely uses standard office equipment, including but not limited to, computers, phones, and photocopiers.
Physical Demands
This position requires the frequent and repetitive use of a computer, keyboard, and mouse. Hand and finger dexterity is required.

Other Duties

Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.

EEO

Saama Technologies, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training."
5,Sr. Benefits System Analyst,The Archdiocese of Baltimore,3.7,Baltimore,MD,Estimated,Annually,"68,000","100,000",$,Full-time,"Health savings account, 403(b), Health insurance, Disability insurance, AD&D insurance","Microsoft Access, Analysis skills, Workday, Microsoft Excel, HRIS, Bachelor's degree","The Archdiocese of Baltimore is seeking candidates for a Senior Benefits System Analyst.

The Sr. Benefits System Analyst will be a part of the Benefits team and work closely with the Benefits and HRMS directors to develop and implement streamlined and efficient solutions. The Sr. Benefits System Analyst will work with the UKG system to make recommendations. The successful candidate will be highly analytical, process and detailed oriented, customer focused and bring a strong understanding of benefit systems. Strong communication skills with the ability to prioritize projects and deliverables and manage confidential information. This is a new position, with some ambiguity, the position will allow a creative Sr. Benefits System Analyst the ability to build groundbreaking and next-generation solutions.

Duties/Responsibilities:
Develops and implements benefit system solutions for the Archdiocese of Baltimore health and welfare employee benefit program including:
Medical, prescription, dental and vision coverage
403b Retirement Plan
Frozen Defined Benefit Plan
Life and AD&D insurance
Short-term and Long-term disability
FSA
HSA
COBRA
1094 & 1095C
Collects and compiles benefit data from a variety of sources including the human resource information system (HRIS) and payroll outputs, benefit sites, and other sources.
Analyzes data and statistics for trends and patterns with attention to benefit compliance and regulations.
Based on metrics and analysis, makes recommendations for benefit process improvements to create and implement benefit solutions
Optimizing and implementing new data processes and systems.
Consulting with Benefit Director to determine benefit program HRIS needs.
Compiles or assists with the acquisition of complex data reports, summaries, and logs for Benefits Director and the Human Resources Executive Director
Participates in HRIS system testing and change management of system implementations for benefits administration.
Performing audits on benefit processes and documents, including benefits, workflow, open enrollment, vendor files, life events, new enrollments, status changes and terminations.
Assists with benefit projects such as data and workflow management, open enrollment, and act as a liaison between Information Technology and Benefits.
Subject Matter Expert (SME) for benefit system and workflow; provides guidance and support for existing and new benefits
Conduct benefit system training as requested
Serve as the back-up to the Benefits Analyst and other Benefit team members
Ability to create detailed, step-by-step end user guides and documentation

Job Requirements:
Qualifications:
Education and Experience:
Bachelor’s degree in Human Resources, Business Administration, Information Technology, or related field required or equivalent work experience
At least 3 to 5 years of experience in related areas such as HRMS, benefit enrollment software, employee benefits preferred.
3-5 years of experience as an HRIS analyst in a related industry is preferred
Proficiency in HRMS software, UKG, Workday, Paycor, ADP, Paycom is preferred
Proficiency with Microsoft Office Suite, advanced Excel and Access skills or related software
HR Analyst or similar work in a franchise environment a plus
Excellent analytical, and problem-solving skills.
Strong familiarity with HR employee benefits
Ability to keep information confidential

Required Skills/Abilities:
Excellent verbal and written communication skills with the ability to communicate clearly with internal partners and external vendors
Experience with HRIS/HRMS systems preferably UKG
Strong analytical and problem-solving skills.
Proficient with or the ability to quickly learn the organization’s HRMS, and similar employee management software.
Thorough understanding of local, state, and federal laws involving benefit policies.

Physical Requirements:
Prolonged periods of sitting at a desk and working on a computer
Must be able to lift up to 15 pounds at times
Job Snapshot
Employee Type
Full-Time
Location
Baltimore, MD
Job Type
Catholic Center
Experience
Not Specified
Date Posted
12/23/2022"
6,Logistics Analyst Imports,Dollar Tree,3.3,Chesapeake,VA,Estimated,Annually,"46,000","68,000",$,,,"Microsoft Access, Writing skills, EDI, Logistics, Transportation management, Bachelor's degree","Summary of Position (Job Purpose) - Major purpose and functions of the position.
Provide operational and analytical support for all aspects of the Import Group.
Works closely with the Import Management Team and personnel from other departments to facilitate supply chain processes.
Improve department performance through analysis involving freight expense, carrier performance, procedural evaluations, carrier pricing and service proposals, and other new initiatives.
Responsible for day-to-day operational execution, follow-up and customer service within the Import department.

Principal Duties and Responsibilities -
The primary tasks the associate will perform during his/her work schedule.

Duties and responsibilities

Maintain databases including drayage and ocean freight payments, fuel variance, accounts payables, dwell times and FDA records.
Interpret data and analyze trends regarding freight availability, carrier reliability, drayage and freight costs and EDI accuracy.
Confer with Import team to determine ways to optimize service levels, maintain supply-chain efficiency and minimize costs.
Recommend improvements to existing processes and procedures.

Specific Tasks

Imports
Work with overseas teams to ensure import purchases orders are moved in most efficient manner to ensure timely delivery of goods to planned distribution centers.
Assist with daily operational tasks working with ocean carriers and freight forwarders.
Develop and analyze shipping data, generate reports, and identify opportunities for process improvement.
Audit and process ocean freight, drayage and supplier management bills.
Track seasonal and promotional merchandise as needed. Provide updates to buyers and ensure plans are aligned for priority goods.
Analyze data flow between internal systems used by Dollar Tree to ensure no discrepancies occur. When errors occur, determine how they occurred and resolve each issue timely.
Complete other analysis, reporting, projects and duties as assigned by the Transportation management team.

Minimum Requirements/Qualifications - Summary of knowledge, experience and education required.
Equivalent of 1+ year’s professional experience in Logistics, preferably in ocean transportation.
Bachelor’s Degree or equivalent work experience (at least 2 years of logistics work experience for non-bachelor degree holders).
Ability to work independently
Ability to effectively communicate, both verbally and in writing, logistics procedures within the department and outside of the department.
Demonstrated ability to multi-task and to meet project deadlines.
Ability to use MS excel to analyze data

Desired Qualifications - Desired but not required.
MS Access query building and database creation

This is not to be considered a complete list of job duties, as they may be amended or added to as needed."
7,Business Intelligence Analyst,Triumph Group,,Berwyn,PA,,,,,,,,"Objective-C, Power BI, Data modeling, SQL, Microsoft Excel, Bachelor's degree","Overview
Triumph Group designs, engineers, manufactures, repairs and overhauls a broad portfolio of aviation and industrial components, accessories, subassemblies, systems and aircraft structures. We partner with original equipment manufacturers (OEMs) and operators of commercial, regional, business and military aircraft worldwide, to provide products and services that solve their hardest problems. So, whatever the part, component or complexity of assembly, Triumph is committed to quality, service and meeting the specialized needs of each customer. Responsibilities
The incumbent will partner with the various Leaders from Supply, Operations, Materials, Planning, Logistics, and Information Technology to support and drive results. The primary purpose of this role is the successful execution of new methods of analyzing large volumes of operational data, perform Extract Transform and Load functions, and development of IT applications to analyze, visualize, and communicate reports, business solutions, and improvements to the current operations. The incumbent will be supporting the core analytics team with actionable analytics, data analysis, facilitating business process robustness, continuous improvement and system and application maintenance to meet communication, quality, delivery, cost, and inventory metrics and goals. .

Responsibilities include but are not limited to:
Develop and deploy IT applications to support the business.
Support Ad Hoc, local and enterprise reports and processes, as more robust automation is quickly developed.
Build and/or support internal company system reporting and data analytics suites, champion system integration events, collect and manage meta-data business rules and data elements, maintain websites, SharePoint folders, and network folder systems.
Identify Improvement areas within the business where Operational Excellence projects can improve process robustness and business results. Qualifications
4+ years of experience in IT system deployment and/or industrial or quality engineering & operations, with IT Systems or programming credentials preferred.
Bachelor’s degree with a concentration in data science, information systems, computer sciences, industrial or manufacturing engineering, or an equivalent level of degree, strongly preferred. Understand of advanced mathematics used to optimize inventory and develop factory simulations.
Energetic, analytical, good organizational skills, and results oriented.
Must be proficient Word, Excel, PowerPoint, SharePoint, Teams
Experience with “In Memory” visualization (Qlik, Power BI, Tableau, etc)
Experience with SQL queries in a SQL server environment.
Citizenship and Travel- US Citizen or Green Card Holder with ability to travel (Domestic and International) approximately 10%. .

Preferred :
ERP Systems- Should be proficient in SAP (knowledge or proficiency in other ERP systems a plus), Syteline, Visual
ETL- Matillion, SQL Server, Oracle Data Integrator (ODI), Informatica, Talend, ATTUNITY, IBM Web Sphere DataStage 8.1 Parallel Extender, Web Services, Quality Stage 8.1 (Designer, Director, Manager), Kofax Kapow Robot, and Alteryx.
Experience in cloud computing environment
Data Modeling- Dimensional Data Modeling, Star Schema Modeling and Snow-Flake Modeling, FACT and Dimension Tables, Physical and Logical Data Modeling.
Programming languages- Unix, PL/SQL , Linux, OS/2, MVS, NT, C, C++, JAVA, Objective C, Python, SQL and XML.
GUI – Developer 2000, Visual Basic, Visual Foxpro, Qlik
Database- HBase, , ORACLE, DB2, MS Access, SQL Server, Redshift, PL/SQL
Reporting Tools- Alteryx, Tableau, Qlik Sense,
Manufacturing Product and Workflow Applications-Oracle, SAP.
Project Management tools (Power BI, Visio, Project, etc)"
8,Data Analyst Sr Revenue Management (Remote),Stericycle,3.1,Georgia,Georgia,,,,,,,"Prescription drug insurance, Dental insurance, Health insurance, AD&D insurance, 401(k)","Cognos, SQL, Microsoft Excel, SSIS, SAP BusinessObjects, Bachelor of Science, Bachelor's degree","About Us:
At Stericycle, we deliver solutions and drive innovations that protect the environment, people, and public health. This includes working to create a more sustainable, shared future. Our innovative solutions make a difference in people’s lives, communities, and our planet by protecting their health and well-being. Change your career. Change your world. Join Stericycle and help protect health and well-being in a safe, responsible, and sustainable way.

Position Purpose:
This is a fully remote/work-from-home opportunity.

This Senior Data Analyst role is integral to enabling insightful data analytics to aid in decision-making at Stericycle. This role shall serve as a lead analytical individual contributor specializing in uncovering entitled revenue opportunities, modeling, and estimating the respective revenue impact. Takes further actions necessary to support the revenue recovery. Additionally, this person shall oversee, guide, and support the day-to-day activities of the data analytics team assuring performance goals and expectations are met. Offers suggestions to management with ideas on how to improve analytics, results, employee morale, and streamline processes.

Key Job Activities:
Design, prepare, and review data by leveraging internal business intelligence applications and platforms to identify or estimate entitled revenue opportunities for functional leaders. Takes appropriate actions required to support the revenue recovery. Leads, trains, and supports other data analysts in doing the samePerform data mining and analysis for ad hoc projects. Effectively presents data in a manner that is easily understood to support decision making. Leads and supports other data analysts in doing the sameExecute routine and/or ad hoc reporting as required to support leadership, field operations, and business analysts. Leads and supports other data analysts in doing the sameEffectively communicate findings and complex analytical solutions to management teamPerform rigorous quality assurance steps to deliver highly accurate and reliable work productsIncorporate on-going feedback from stakeholders into existing reports, dashboards, and analysesPerform other duties and responsibilities, as assigned
Education:
Preferred Education: in Bachelors or Equivalent

Experience (North America & LATAM):
Bachelor of Science degree in a quantitative discipline (Computer Science, Mathematics, Statistics, Economics, Engineering, Operations Research) or the equivalent in related work experienceTwo or more years of recent experience as a Business or Sales AnalystMinimum of two years of experience and knowledge building reports within a standard reporting application (i.e. SAP Business Objects, Cognos BI, SQL Reporting Services, etc.) and in creating ad hoc data marts for analysis using business intelligence tools (i.e. SQL, Alteryx, SSIS, etc.)Past experience with (understand and develop queries) SQL, SAP Hana Enterprise and relational databases preferredProficient in Excel and comfortable using other Microsoft Office productsWillingness to expand upon known technical skills and continually develop/learn new technical skills in support of new tools/methodsAbility to work independently and manage several simultaneous projects with a focus on resultsExperience in service business preferred, but not requiredMust be legally authorized to work in the United States or Canada for any employer without sponsorship
Benefits:
Stericycle currently offers its employees the option to participate in a full range of benefits, including a health care program which includes medical, dental, vision and prescription coverage, healthcare and dependent care flexible spending accounts, life and accidental death and dismemberment insurance, an employee assistance program, tuition reimbursement, paid vacation and sick time, a 401(k) plan, and an employee stock purchase plan. Participation in some programs requires that employees be regularly scheduled to work a minimum number of hours and/or to have fulfilled a waiting period after they begin employment with Stericycle.

Disclaimer:
Disclaimer: The above description is meant to provide a summary of the nature and level of work being performed; it should not be construed as an exhaustive list of all responsibilities, duties and requirements of the job. This document does not create an employment contract, implied or otherwise. Stericycle will consider requests for workplace accommodations for protected physical or mental limitations in accordance with its human resources policies and local laws. To the extent permissible under local law, and consistent with business necessity, Stericycle reserves the right to modify the content formally or informally, either verbally or in writing, at any time with or without advance notice."
9,Sr. Contracts & Pricing Analyst,UCB S.A.,3.8,Atlanta,GA,Estimated,Annually,"63,000","87,000",$,,,"Bachelor's degree, Master's degree","Make your mark for patients.

We’re here because we want to build the future and transform patients’ lives for the better. To achieve that, we need the brightest minds and biggest hearts. That’s why our Talent Acquisition Team looks for passionate people inside and outside the company. Are you interested in an internal move that will allow you to explore how much more you can do to make a difference for people living with severe disease?

To strengthen our Contracts & Pricing Team, we are looking for a talented individual to fill the position of: Sr. Contracts and Pricing Analyst.

As an Sr. Contracts and Pricing Analyst you will manage the development and maintenance of the infrastructure and processes for ongoing auditing, monitoring, and verification of government pricing policies and submissions, contract compliance, and validation of eligibility and customer assignments. The Analyst will also lead certain process improvement initiatives, revenue optimization (leakage) assessments as well as perform data validations.

You like to work in an environment where you can:
Maintain a comprehensive and consistent Audit, monitor and verification process to ensure GP and contract complianceCarry out routine audit and monitor activities to identify areas of concern and recommend risk mitigation changesAnalyze data trend using various data sources and recommends revenue or operation enhancement activitiesEvaluate the effectiveness and completeness of C&P policies, SOPs and provide training to relevant parties as necessary
You will contribute by:
Being a key resource and supports the implementation of revenue enhancement activities and tracks successes by individual C&P teamPerforming validation of customer eligibility and assignment, including PHS eligibilityValidating GP calculations through the development and maintenance of parallel modelsWorking with all C&P teams and validates necessary changes implemented within system or current processes
Interested? For this position you’ll need the following education, experience and skills:
Bachelor’s degree (Master’s degree preferred)Minimum of 3 years of experience preferably in an audit capacity within Contracts and Pricing, Managed Markets, Compliance, Finance or Legal for a pharmaceuticals manufacturerMust be able to identify potential problems, conduct analysis and use judgment to determine if problem existsHave an appropriate recognition when it is necessary to seek guidance or approval.Position requires complex analytical judgment ability
About us.

At UCB, we come together every day to work, laser-focused, on a simple question: How will this create value for people living with severe diseases? By putting patients at the heart of everything we do, our approach – from discovery to development to delivery – is continuously transformed and designed around patient needs and their journey.

With a team of approximately 7,600 employees and worldwide operations in more than 40 countries, we are a global biopharmaceutical company investing more than a quarter of our revenue in cutting-edge scientific research. We are focused on addressing chronic, neurological, immunological, and bone diseases. We are looking for people with passion and empathy who develop a real understanding of patient’s needs and can deliver thoughtful solutions to decisionmakers across the heath care ecosystem.

The Company is an equal opportunity employer. We evaluate qualified applicants without regard to race, color, national origin, religion, gender, age, marital status, disability, veteran status, sexual orientation, gender identity, or any other characteristic protected by law.

Where permitted, applicants for employment in the United States must either have received or been willing to receive a full COVID-19 vaccination by the date of hire; or, alternatively, agree to be subject to weekly COVID-19 testing, subject to religious and medical exemptions and in accordance with applicable law."
